NILAI,PILIHAN 1,PILIHAN 2,KELULUSAN
469,UNP - pendidikan matematika,UNP - Pendidikan Guru Sekolah Dasar,1
585.33,UI - Bahasa dan Kebudayaan ,UNDIP - Ilmu Perpustakaan,1
497.88,UNDIP - Kesehatan Masyarakat ,UNAND - Kesehatan Masyarakat ,0
493.38,UNAND - Psikolog,UNIBRAW - Kebidanan,0
555.33,UNIBRAW - Akuntansi,UNIBRAW - Administrasi Publik,0
437.33,UNRI - Administrasi Niaga,UNAND - Administrasi,0
566.75,UNPAD - Statistika,UNAND - teknik lingkungan,0
416,UNP - administrasi negara ,UNP - pendidikan sosiologi antropologi,0
436.33,UNP - Manejemen (NK),Universitas Negeri Jakarta - Manajemen,0
620,UI - Teknik Industri,UGM - Teknik Industri,1
501.38,UNAND - Teknik Lingkungan,UNAND - Biologi,0
535.33,UNP - Pendidikan Geografi ,UNP - Pendidikan Sejarah,1
580.75,UI - Farmasi,UNAND - Pendidikan Dokter Gigi,0
553.56,UNRI - Akuntansi,UNP - Manajemen,1
446.25,UNAND - Ilmu Gizi,UNAND - Teknik Industri Pertanian,0
532.11,UNAND - hukum,UNAND - ilmu politik,1
513.44,UNAND - Ilmu Komunikasi,UNAND - Manajemen,0
486.38,UNP - teknik elektro,UNP - Pendidikan Kimia,0
